coords,nb_x,nb_y,likelihood,nt_x,nt_y,likelihood,adam_x,adam_y,likelihood,nb_ad_x,nb_ad_y,nt_ad_x,nt_ad_y
0,156.0628815,216.2346191,1,156.3708496,254.0541229,1,199.1340179,348.1497803,1,43.07113647,131.9151611,42.76316833,94.09565735
1,156.35849,216.0425262,1,156.8052063,253.93927,1,199.1168671,348.2468262,1,42.75837708,132.2042999,42.31166077,94.30755615
2,156.4820099,215.9748535,1,157.1647644,253.7689819,1,199.079895,348.3459778,1,42.59788513,132.3711243,41.91513062,94.57699585
3,156.7759705,215.0766907,1,156.7861176,253.5075684,1,198.9775391,348.6851196,1,42.2015686,133.608429,42.19142151,95.17755127
4,156.7759705,215.0766907,1,156.7861328,253.5075531,1,198.9770355,348.6851807,1,42.20106506,133.60849,42.19090271,95.17762756
5,156.615036,215.0324249,1,156.3556061,252.6157074,1,198.4243317,348.136322,1,41.80929565,133.1038971,42.06872559,95.52061462
6,155.3936157,215.836853,1,155.0397034,253.7475891,1,198.137207,348.5296631,1,42.74359131,132.6928101,43.09750366,94.78207397
7,153.9964142,216.7802734,1,154.0286255,254.3996124,1,198.0099945,348.645752,1,44.01358032,131.8654785,43.98136902,94.24613953
8,151.6377716,217.4728394,1,152.4549103,254.6715851,1,198.0446625,348.5588074,1,46.40689087,131.085968,45.5897522,93.88722229
9,150.20784,218.0432129,1,151.8823853,255.0314789,1,197.5696106,348.2809143,1,47.36177063,130.2377014,45.68722534,93.24943542
10,149.712738,218.0787659,1,151.0735016,254.9402771,1,197.444809,348.3409119,1,47.73207092,130.262146,46.37130737,93.40063477
11,149.557724,218.0438995,1,150.8024292,254.738678,1,197.6837311,348.2721252,1,48.12600708,130.2282257,46.88130188,93.53344727
12,149.5827484,217.9137268,1,150.8456116,254.7131042,1,197.4498138,348.1304321,1,47.86706543,130.2167053,46.60420227,93.41732788
13,149.5827637,217.9136963,1,150.8455658,254.7129517,1,197.4496155,348.1302795,1,47.86685181,130.2165833,46.60404968,93.41732788
14,149.0559235,218.2545166,1,150.1687469,255.4608612,1,197.2910156,347.900177,1,48.23509216,129.6456604,47.12226868,92.4393158
15,148.5899048,218.9060211,1,149.5188141,256.2979431,1,197.3305969,347.8721313,1,48.74069214,128.9661102,47.81178284,91.57418823
16,148.2093353,218.8003998,1,148.9051666,256.8022766,1,196.8103333,348.0745239,1,48.60099792,129.2741241,47.90516663,91.27224731
17,147.4066772,219.7759247,1,148.3873444,258.1466064,1,196.6936188,348.0462952,1,49.28694153,128.2703705,48.30627441,89.89968872
18,146.8750305,220.3175354,1,147.9508514,258.5809021,1,196.2046204,347.6322327,1,49.32958984,127.3146973,48.25376892,89.05133057
19,146.546463,221.3020325,1,147.5307007,258.7166748,1,196.0487366,347.3256531,1,49.50227356,126.0236206,48.51803589,88.60897827
20,146.3770447,221.4349213,1,147.5312653,258.8058472,1,196.0799103,347.2835083,1,49.7028656,125.848587,48.54864502,88.47766113
21,145.8353577,221.2640991,1,147.3046417,258.4781799,1,195.7456512,347.5820923,1,49.91029358,126.3179932,48.44100952,89.10391235
22,145.7350159,221.4212189,1,147.3052979,258.5243835,1,195.5582733,347.5265198,1,49.82325745,126.1053009,48.25297546,89.00213623
23,145.7104034,221.2670441,1,147.354126,258.6182556,1,195.5192413,347.9072876,1,49.80883789,126.6402435,48.16511536,89.28903198
24,145.9447784,222.6924896,1,147.8742218,259.8020935,1,195.3908081,347.7863159,1,49.44602966,125.0938263,47.5165863,87.98422241
25,145.9606018,222.3760529,1,148.1881714,259.7115479,1,195.3906555,347.9871826,1,49.43005371,125.6111298,47.20248413,88.27563477
26,146.2548676,221.6319122,1,148.3708649,259.5447693,1,195.6661072,347.9889832,1,49.41123962,126.3570709,47.29524231,88.44421387
27,146.5605621,222.070343,1,148.893631,259.8764343,1,195.276123,347.8148804,1,48.71556091,125.7445374,46.38249207,87.93844604
28,146.6291351,222.2521667,1,149.2249451,260.0365906,1,195.2743835,347.9651794,1,48.64524841,125.7130127,46.04943848,87.92858887
29,146.8488617,222.6844635,1,149.6363983,260.157196,1,195.4228058,347.7034912,1,48.57394409,125.0190277,45.78640747,87.54629517
30,147.0952148,222.9738617,1,149.8024902,260.7240601,1,195.8314667,347.799469,1,48.73625183,124.8256073,46.02897644,87.07540894
31,147.4087982,222.9713593,1,149.8384094,260.7415161,1,195.6932068,347.8619995,1,48.28440857,124.8906403,45.85479736,87.1204834
32,147.3638763,223.2753906,1,149.8661346,260.8405151,1,195.4617767,347.8001404,1,48.09790039,124.5247498,45.59564209,86.95962524
33,147.0700073,223.4709778,1,149.7039337,261.1636658,1,195.6158295,347.7416992,1,48.54582214,124.2707214,45.91189575,86.57803345
34,146.9271851,223.7436371,1,149.6177063,261.0502625,1,195.5331421,347.7106628,1,48.60595703,123.9670258,45.91543579,86.66040039
35,146.9859772,223.884079,1,149.2502747,261.7234497,1,195.6271362,347.6364441,1,48.64115906,123.7523651,46.37686157,85.91299438
36,146.8914948,224.0713348,1,149.1827545,261.8012085,1,195.8604126,347.5477905,1,48.96891785,123.4764557,46.67765808,85.74658203
37,146.9259338,224.1917267,1,149.213562,262.0757446,1,195.8568115,347.4369812,1,48.93087769,123.2452545,46.64324951,85.36123657
38,146.8334656,224.606308,1,149.2730865,262.2132874,1,195.8863678,347.4832153,1,49.05290222,122.8769073,46.61328125,85.26992798
39,146.6591339,224.7632751,1,149.0627136,262.069519,1,195.9990692,347.4506226,1,49.3399353,122.6873474,46.93635559,85.38110352
40,146.3937378,224.8140717,1,148.7090149,262.1470032,1,196.0008087,347.3852844,1,49.60707092,122.5712128,47.29179382,85.23828125
41,146.3101807,225.2395172,1,148.3332367,262.3528137,1,195.7709961,347.4478455,1,49.46081543,122.2083282,47.4377594,85.09503174
42,146.1934204,225.5139008,1,148.1636963,262.3896179,1,195.5781403,347.321167,1,49.38471985,121.8072662,47.41444397,84.93154907
43,145.930481,225.5920715,1,147.8537292,262.1566467,1,195.6236115,347.0114136,1,49.69313049,121.419342,47.7698822,84.85476685
44,145.8439941,225.4048309,1,147.892334,262.0818481,1,195.4671783,346.9396362,1,49.6231842,121.5348053,47.57484436,84.85778809
45,146.489975,225.8641968,1,148.2793884,262.58078,1,195.3954163,346.2313232,1,48.90544128,120.3671265,47.11602783,83.65054321
46,146.4365845,225.8291168,1,148.3827972,262.3349609,1,195.1342773,346.1930237,1,48.69769287,120.3639069,46.7514801,83.85806274
47,146.7277374,225.6133881,1,148.6987762,262.2632141,1,195.1669464,346.1234436,1,48.43920898,120.5100555,46.46817017,83.86022949
48,146.8770294,225.0798492,1,148.770401,262.482666,1,195.2794342,345.9986267,1,48.40240479,120.9187775,46.5090332,83.51596069
49,147.107193,224.8121796,1,149.2398376,262.4480591,1,195.3545685,345.9801941,1,48.24737549,121.1680145,46.11473083,83.53213501
50,147.9333801,223.7890778,1,149.9811096,262.0379028,1,195.6933136,346.2773438,1,47.75993347,122.488266,45.71220398,84.23944092
51,147.5996552,222.8376007,1,150.1291962,261.2362061,1,196.2571869,346.1854553,1,48.65753174,123.3478546,46.12799072,84.94924927
52,147.9311066,221.6545715,1,150.171463,260.1270142,1,196.3228302,346.0079956,1,48.39172363,124.3534241,46.15136719,85.88098145
53,148.914093,220.675827,1,151.0820007,259.106842,1,196.4706573,345.6721497,1,47.55656433,124.9963226,45.38865662,86.56530762
54,150.0861969,219.710968,1,151.5976868,257.8141479,1,196.419632,345.2001953,1,46.33343506,125.4892273,44.82194519,87.38604736
55,150.611618,218.7266388,1,152.0791473,257.0943298,1,195.9021606,344.4558716,1,45.2905426,125.7292328,43.82301331,87.36154175
56,150.8689117,218.2621155,1,152.4821625,256.1874695,1,195.5254364,344.2243652,1,44.65652466,125.9622498,43.04327393,88.03689575
57,150.7678528,218.0605164,1,152.6789093,255.2549438,1,195.128418,343.6483154,1,44.36056519,125.5877991,42.44950867,88.39337158
58,151.3456879,217.3890686,1,152.836792,254.3642883,1,195.2847443,343.4493408,1,43.9390564,126.0602722,42.44795227,89.08505249
59,151.7557678,216.8100128,1,153.1226044,253.6933899,1,195.2444153,343.1800537,1,43.48864746,126.3700409,42.12181091,89.48666382
60,152.049881,215.8644867,1,153.27211,252.7566376,1,196.2804565,341.5747986,1,44.23057556,125.7103119,43.00834656,88.81816101
61,152.5770721,216.5113983,1,153.6942596,252.4048615,1,196.0969543,341.0124207,1,43.5198822,124.5010223,42.4026947,88.6075592
62,152.7662964,215.5423279,1,153.8264923,251.4636536,1,196.1658173,340.9274902,1,43.39952087,125.3851624,42.33932495,89.46383667
63,152.08255,214.7280273,1,153.9183807,251.0600433,1,196.1599426,340.8585205,1,44.07739258,126.1304932,42.24156189,89.79847717
